task number,coustumerName,address,telephone,creationTime,FRZ,כמות,level,toolshed,vipCustomer,due date,due date Time,WindowToSupply(h),timeToFix(m),decripation
187,פיצוחי גיל אשקלון,"העצמאות 18, אשקלון",052-7202119,23/03/2016,280,100,0.36,yes,no,27/05/2016,06:00,4,15,
188,מינימרקט לב העיר אשקלון,"ההסתדרות 460, אשקלון",052-7777100,17/02/2016,40,30,0.75,yes,no,27/05/2016,06:00,4,15,
189,פיצוציית התאומים אשקלון,"גיורא יוספטל 2, אשקלון",08-8584054,16/03/2016,90,45,0.5,yes,no,27/05/2016,06:00,4,15,
190,מינימרקט ורד אשקלון,"גדוד הפורצים 1, אשקלון",052-2917901,16/03/2016,65,40,0.62,yes,no,27/05/2016,07:00,4,15,
191,מינימרקט בן דוד אשקלון,"העבודה 280, אשקלון",08-6347281,09/03/2016,65,60,0.92,yes,no,27/05/2016,08:00,4,15,
192,קוויק סטופ ברזילי (2015),"ההיסתדרות 3, אשקלון",02-5791875,09/03/2016,65,65,1,yes,no,27/05/2016,06:00,4,15,
193,פינת המזל אשקלון,"מרכז נפתי 7, אשקלון",050-5219535,23/03/2016,240,220,0.92,yes,no,27/05/2016,09:00,4,15,
194,ממתקי הסיטי אשקלון,"שד' בן גוריון 9, אשקלון",02-5330333,23/03/2016,65,65,1,yes,no,27/05/2016,09:00,4,15,
195,טוטו טוסט אשקלון,"זאבי רחבעם 4, אשקלון",052-2679500,25/11/2015,160,120,0.75,yes,no,27/05/2016,06:00,4,15,
196,הפיצוחיה אשקלון,"הרצל 34, אשקלון",052-5193339,23/03/2016,160,160,1,yes,no,27/05/2016,08:00,4,15,
197,קוויק סטופ מרינה (2015),"פה נוף 5, אשקלון",050-5900117,16/03/2016,160,100,0.63,yes,no,27/05/2016,06:00,4,15,
198,קיוסק דלי קרים,"העצמאות 6, אשקלון",050-9229940,16/03/2016,130,50,0.38,yes,no,27/05/2016,06:00,4,15,
199,מינימרקט האחים אשקלון,"באיילה 9, אשקלון",054-9733861,02/03/2016,65,50,0.77,yes,no,27/05/2016,06:00,4,15,
200,קופי שופ אשקלון,"יפה נוף 1, אשקלון",02-6564456,17/02/2016,40,40,1,yes,no,27/05/2016,07:30,4,15,
201,פז אקסודוס (גבריאלי),"אקסודוס 6, אשקלון",050-7744751,16/03/2016,192,80,0.42,yes,no,27/05/2016,06:00,4,15,
202,קפה בלה אשקלון,"הנשיא 82, אשקלון",02-6568848,16/03/2016,65,30,0.46,yes,no,27/05/2016,06:00,4,15,
203,קמפוס חנות נוחות אשקלון,"גוש עציון 2, אשקלון", 054-5408066,16/03/2016,65,35,0.54,yes,no,27/05/2016,06:00,4,15,
204,מפגש הזהב אשקלון,"ברמז דוד 57, אשקלון",02-5702914,23/03/2016,160,100,0.63,yes,no,27/05/2016,06:30,4,15,
205,מיקה הדרי אשקלון,"אבן עזרא 64, אשקלון ",02-5734278,09/03/2016,160,100,0.63,yes,no,27/05/2016,06:00,4,15,
206,פינת הזהב אשקלון,"צפניה 8, אשקלון",02-5734394,02/03/2016,160,120,0.75,yes,no,27/05/2016,06:00,4,15,
207,קוויק סטופ אפרידר (2015),"צפניה 10, אשקלון",054-7726204,09/03/2016,240,220,0.92,yes,no,27/05/2016,06:00,4,15,
208,אדון המשקאות אשקלון,"העבודה 68, אשקלון",02-5836146,10/03/2016,70,70,1,yes,yes,27/05/2016,09:00,4,15,[+מקפיא 300][-]
