task number,coustumerName,address,telephone,creationTime,FRZ,כמות,level,toolshed,vipCustomer,due date,WindowToSupply,timeToFix,decripation
189,פיצוציית התאומים אשקלון,"גיורא יוספטל 2, אשקלון",08-8584054,16/03/2016,90,45,50%,yes,no,13/05/2016,06:00,01:30,
190,מינימרקט ורד אשקלון,"גדוד הפורצים 1, אשקלון",052-2917901,16/03/2016,65,40,62%,yes,no,13/05/2016,07:00,01:30,
191,מינימרקט בן דוד אשקלון,"העבודה 280, אשקלון",08-6347281,09/03/2016,65,60,92%,yes,no,13/05/2016,08:00,01:30,
192,קוויק סטופ ברזילי (2015),"ההיסתדרות 3, אשקלון",02-5791875,09/03/2016,65,65,100%,yes,no,13/05/2016,06:00,01:30,
193,פינת המזל אשקלון,"מרכז נפתי 7, אשקלון",050-5219535,23/03/2016,240,220,92%,yes,no,13/05/2016,09:00,01:30,
194,ממתקי הסיטי אשקלון,"שד' בן גוריון 9, אשקלון",02-5330333,23/03/2016,65,65,100%,yes,no,13/05/2016,09:00,01:30,
195,טוטו טוסט אשקלון,"זאבי רחבעם 4, אשקלון",052-2679500,25/11/2015,160,120,75%,yes,no,13/05/2016,06:00,01:30,
196,הפיצוחיה אשקלון,"הרצל 34, אשקלון",052-5193339,23/03/2016,160,160,100%,yes,no,13/05/2016,08:00,01:30,
197,קוויק סטופ מרינה (2015),"פה נוף 5, אשקלון",050-5900117,16/03/2016,160,100,63%,yes,no,13/05/2016,06:00,01:30,
198,קיוסק דלי קרים,"העצמאות 6, אשקלון",050-9229940,16/03/2016,130,50,38%,yes,no,13/05/2016,06:00,01:30,
199,מינימרקט האחים אשקלון,"באיילה 9, אשקלון",054-9733861,02/03/2016,65,50,77%,yes,no,13/05/2016,06:00,01:30,
200,קופי שופ אשקלון,"יפה נוף 1, אשקלון",02-6564456,17/02/2016,,40,,yes,no,13/05/2016,07:30,01:30,
201,פז אקסודוס (גבריאלי),"אקסודוס 6, אשקלון",050-7744751,16/03/2016,192,80,42%,yes,no,13/05/2016,06:00,01:30,
202,קפה בלה אשקלון,"הנשיא 82, אשקלון",02-6568848,16/03/2016,65,30,46%,yes,no,13/05/2016,06:00,01:30,
203,קמפוס חנות נוחות אשקלון,"גוש עציון 2, אשקלון", 054-5408066,16/03/2016,65,35,54%,yes,no,13/05/2016,06:00,01:30,
204,מפגש הזהב אשקלון,"ברמז דוד 57, אשקלון",02-5702914,23/03/2016,160,100,63%,yes,no,13/05/2016,06:30,01:30,
205,מיקה הדרי אשקלון,"אבן עזרא 64, אשקלון ",02-5734278,09/03/2016,160,100,63%,yes,no,13/05/2016,06:00,01:30,
206,פינת הזהב אשקלון,"צפניה 8, אשקלון",02-5734394,02/03/2016,160,120,75%,yes,no,13/05/2016,06:00,01:30,
207,קוויק סטופ אפרידר (2015),"צפניה 10, אשקלון",054-7726204,09/03/2016,240,220,92%,yes,no,13/05/2016,06:00,01:30,
208,אדון המשקאות אשקלון,"העבודה 68, אשקלון",02-5836146,,,70,,yes,yes,13/05/2016,09:00,01:30,[+מקפיא 300][-]
